filename,item_title,item_subtitle,item_image,item_url,url_main,item_summary,type,hierarchy1,content
spokengospel_Genesis Introduction_video,Genesis Introduction,Read Genesis Differently. Watch This Video To See Jesus And Begin Your Journey.,https://cdn.prod.website-files.com/63fb963d0e70bd78675b9a1b/6643aaa31b5b47db5d598340_Genesis_Web.webp,https://www.youtube.com/watch?v=zIJBhEAIzj4,https://www.spokengospel.com/books/genesis,,video,,
spokengospel_Zephaniah Introduction_video,Zephaniah Introduction,Read Zephaniah Differently. Watch This Video To See Jesus And Begin Your Journey.,https://cdn.prod.website-files.com/63fb963d0e70bd78675b9a1b/65dcef78e37eb2f3f769f74c_zehpaniah_graphic.webp,https://www.youtube.com/watch?v=eENvjSouW9Y,https://www.spokengospel.com/books/zephaniah,,video,,
spokengospel_1 & 2 Kings Introduction_video,1 & 2 Kings Introduction,Read 1 & 2 Kings Differently. Watch This Video To See Jesus And Begin Your Journey.,,https://www.youtube.com/watch?v=kqRrBbYTfaE,https://www.spokengospel.com/books/kings,,video,,
spokengospel_Genesis 39-41_text,Genesis 39-41,The Rise of Joseph,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/genesis-39-41#read,,"In Genesis 39-41, we see that Jesus went to the lowliest position on the cross only to be raised up to the highest place.",Website,Genesis Bible Study,"What's Happening?

God brings good out of evil. He proves this in the story of Joseph. 

After being sold into slavery, Joseph also becomes wrongly imprisoned for resisting the sexual advances of his master’s wife (39:20). While in jail, God makes sure Joseph’s endeavors succeed so that he becomes a prison warden. While serving in this position, Joseph interprets two dreams that both come true (40:21-22). So when Pharaoh has a dream himself Joseph is called upon, and accurately interprets his dream as well. 

The dream is a warning that God is about to bring seven years of plenty followed by seven years of famine in Egypt (41:25). 

For Joseph’s insight, Pharaoh appoints him to second in command. The famine comes just as Joseph said it would. But since they were prepared, Joseph was able to provide stored up grain to all the nations that came to them for help. 

This story allows us to both compare and contrast what God does through Joseph with the rest of Israel’s story. 

Joseph’s brothers tried to make him a slave, but God made him a king. Judah gave into sexual temptation with Tamar, but Joseph resisted it. Whereas so much of the sin surrounding this story points to God’s grace in the midst of evil, Joseph’s goodness points to the fact that God can raise up a righteous person out of the worst situations. 

Under Joseph’s care, the food in Egypt was fruitful and multiplied, as God promised Abraham his children would be. The text even says that the “world” came to Egypt to buy grain from Joseph (41:57). So here we get a foretaste of all the nations of the earth being blessed through Abraham’s descendants. 

But the people aren’t fruitful, just the food. And the nations aren’t being blessed with God’s presence, just with grain. It is an incomplete fulfillment. 

Where is the Gospel? 

That is why we must see Jesus in this story as well. 

Joseph may have been righteous by comparison, but Jesus is the only one who is perfectly righteous. Jesus is the one who not only resisted sexual temptation from one woman but was tempted in every way and never sinned (Hebrews 4:15). 

Unlike Joseph, Jesus willingly came to earth to make himself a slave to all, even to the point of death (Philippians 2:7-8). He did not just descend into a prison, but into the jail that imprisons all humanity - the grave itself (1 Pt 3:19). Yet, God used Jesus’ death to bring him to the throne above every throne (Phil 2:9). 

The story of Joseph shows us a partial, incomplete, fulfillment of God’s promise to Abraham. Jesus, however, brings complete fulfillment. Jesus multiplies his spiritual blessings to us. He is the bread of life that feeds us in the direst seasons of life’s famines (Jn 6:35). 

See for Yourself 

I pray that the Holy Spirit shows you the God who brings good out of the worst evil and that you would see that Jesus underwent the worst of our evil to bring the whole world the greatest good. "
spokengospel_Genesis 39-41_video,Genesis 39-41,The Rise of Joseph,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=EgbbjYukTh8,https://www.spokengospel.com/devotionals/genesis-39-41#read,"In Genesis 39-41, we see that Jesus went to the lowliest position on the cross only to be raised up to the highest place.",video,Genesis Bible Study,
spokengospel_Zephaniah 2:4-3:8_text,Zephaniah 2:4-3:8,The Humble Inherit the Earth,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/zephaniah-2-3#read,,"In Zephaniah 2:4-3:8, we see that Jesus’ life and death tell us that God’s purifying fire has ended an era of evil and pride—and the humble can finally inherit the earth.",Website,Zephaniah Bible Study,"What’s Happening?

The world as Judah knows it will soon be destroyed by God’s burning anger against the pride, violence, and idolatry of her leaders. The only one's sheltered on that day are the humble (Zephaniah 2:3). In chapters two and three, Zephaniah offers multiple prophecies explaining that God’s purifying fire will desolate those currently in power and leave behind a world without pride and evil for the humble to inherit. 

The economic centers of the rival nation Philistia will crash and their trading routes will fall (Zephaniah 2:4-5). The aftermath of God's purifying fire will turn Philistine civilization into pastureland (Zephaniah 2:6). And the people of Judah will live as humble shepherds in the ruins of a once proud economic superpower (Zephaniah 2:7). 

The nations Moab and Ammon have been arrogant, insulting, and threatening to Judah (Zephaniah 2:8, 10). Confident in their own gods, they see Israel’s God as weak. But the God of Israel will destroy the gods of Moab and Ammon (Zephaniah 2:11). The lands those deities protect, God will turn into pits of sulfur and salt (Zephaniah 2:9a). But the humble survivors who trust God will plunder what isn’t burned (Zephaniah 2:9b).

Assyria boasts that her capital, Nineveh, is unique among the world (Zephaniah 2:15a). But all the cultural accomplishments and pleasures of that city will dry up in the desert heat (Zephaniah 2:13). And where a once-indulgent culture ran wild, simple animals will make their homes (Zephaniah 2:14).

Zephaniah says God hoped his anger at the world that Judah so closely copied would lead her to turn away from her pride, violence, and idolatry (Zephaniah 3:6-7). He hoped his purifying fire would cause Judah to become a kingdom for all the humble of the world to flock to. But since it hasn’t, God tells proud Judah to wait for her inevitable destruction (Zephaniah 3:8).

As God’s people they carried a special calling to image God’s moral purity, love, and generosity to a watching world (Zephaniah 3:5). Instead, they have watched the world and imaged the oppression, rebellion, and impurity of it (Zephaniah 3:1). Disobedient, Judah’s rulers are lions and wolves, her prophets are treacherous, and her priests are profane (Zephaniah 3:2-4). Judah will be the last and least nation God will purify.

Where is the Gospel?

The purpose of God’s fire is not annihilation but purity. God’s fire humiliates the proud but raises the humble. God hoped that when Judah saw God’s fire among the nations, it would cause her to turn from her pride and become a kingdom where the humble would flock. God hopes the same for us through Jesus. 

Like Judah, Jesus carried a special calling to image God's moral purity, love, and generosity to a watching world (Hebrews 1:3). And he did so perfectly! He was God’s image in the flesh. But Jesus also experienced God’s burning anger against Judah’s pride. The apostle Paul even says Jesus became sin for his people (2 Corinthians 5:21). Just as the failings of Judah’s leaders brought God’s fire on themselves and the world, Jesus invited God’s purifying fire on himself in the world’s place. And like Zephaniah hoped, on the other side of God’s fire, the humble and the poor inherit God’s Kingdom on the earth (Matthew 5:3, 5).

In Judah's time, God's purifying fire left behind a world for humble shepherds, wounded survivors, and wild animals to inherit. And in Jesus, it’s humble shepherds who first meet King Jesus holding court among simple animals (Luke 2:8-20). And it’s to the poor and oppressed that Jesus first preached his good news (Luke 4:18-19). Jesus’ life and death tell us that God’s purifying fire has ended an era of evil and pride—and the humble can finally inherit the earth. 

See for Yourself

I pray that the Holy Spirit will open your eyes to see the God who purifies the world like fire. And may you see Jesus as the one that was judged so that the humble could inherit the world. "
spokengospel_Zephaniah 2:4-3:8_video,Zephaniah 2:4-3:8,The Humble Inherit the Earth,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=q7Z-NboLD50,https://www.spokengospel.com/devotionals/zephaniah-2-3#read,"In Zephaniah 2:4-3:8, we see that Jesus’ life and death tell us that God’s purifying fire has ended an era of evil and pride—and the humble can finally inherit the earth.",video,Zephaniah Bible Study,
spokengospel_2 Kings 3_text,2 Kings 3,God Traps an Evil King,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/2-kings-3#read,,"In 2 Kings 3, we see that God upsets our expectations, traps evil, and surprises those loyal to him.",Website,1 & 2 Kings Bible Study,"What’s Happening?

Infamously wicked Ahab has died, and his son Jehoram has taken the throne. While he’s a marginal improvement on his father, Jehoram’s still at odds with God and his prophets (2 Kings 3:2). 

His father had annexed the neighboring nation of Moab and exacted steep taxes (2 Kings 3:4). But with Ahab dead, Moab’s king rebels (2 Kings 3:5). So Jehoram forms a coalition with Edom and Israel to march on Moab and quell the uprising (2 Kings 3:9a). But seven days into the march, there is no water for their troops or animals (2 Kings 3:9b). One member of the coalition believes God is trapping them—and in fact, he will very soon (2 Kings 3:10). But for now, at the coalition’s insistence, Jehoram seeks out a prophet for guidance (1 Kings 22:7, 2 Kings 3:11).

Providentially, Elisha is nearby. But concerned for the coalition, he also helps set God’s trap. Elisha prophesies that God will miraculously provide water in the wilderness and give Moab into their hands (2 Kings 3:17-18). But Elisha also predicts the coalition will cut down Moab’s trees, plug its rivers, and pollute its farmland (2 Kings 3:19). This is a prediction of disobedience. God’s law specifically forbids this type of scorched-earth warfare and comes with steep consequences (Deuteronomy 20:19). But these kings have forgotten this and don’t think to interpret this prophecy any further. God’s traps are set.

The next morning the desert fills with water (2 Kings 3:20). But the red sand and the desert sun make the miracle lake look like blood (2 Kings 3:22). The Moabites assume this means Israel’s fragile coalition has violently imploded, so they move to collect the spoil (2 Kings 3:23). But Israel and Edom are waiting, and the Moabites are easily ambushed (2 Kings 3:24). Israel marches on, fells Moab’s trees, and razes its farmland (2 Kings 3:25). Elisha’s prophecies have all come true. But the battle isn’t over. 

Cornered, Moab’s king burns his oldest son as a human sacrifice to his gods in hopes of a miraculous victory (2 Kings 3:27a). Moab’s gods don’t respond, but Israel’s God does. God attacks Israel and forces them to retreat (2 Kings 3:27b). What should have been an easy victory turns into a humiliating loss. Furious at the coalition’s selective hearing and neglect of his law, God uses Moab’s idolatry and infanticide to judge the ambitions of Ahab’s son. 

Where is the Gospel?

Jehoram is the second king in Ahab’s family to be humiliated by an under-interpreted and, therefore, misleading prophecy (1 Kings 22:22). It’s an uncomfortable thought that God can trap and trick not only his enemies but his people. It’s even more disconcerting to think that God’s prophet speaking God’s word doesn’t guarantee we know what God is up to. But a God of surprise endings is ultimately a good thing.

God is a God who upsets our expectations and turns things on their head. This isn’t because he’s malicious or because he enjoys watching people like Jehoram squirm (Ezekiel 33:11). No, God is good, loving, and life-giving. God wants the best for his people, but God is also a God of the unexpected. We should expect to be surprised by him.

We barely know what’s going on in our own lives, much less how to interpret our personal histories. But God's plans for us are as big as he is. God can do immeasurably more than we can ask or imagine (Ephesians 3:20). If God has not surprised you yet, perhaps you haven’t yet met God.

While God’s surprises in 2 Kings 3 serve to trap evil kings, the apostle Paul tells us that God works all things for our good, including unexpected suffering and painful misunderstandings (Romans 8:28). God will surprise the corrupt and wicked with their humiliation. But for those who love God, we will not be trapped by our sin but surprised by God’s loving and sacrificial care. 

Unlike the Moabite king who sacrificed his son to coerce the gods and save his people, Jesus is the Son of God who saves his people by freely sacrificing himself. Jesus’ death is not a manipulation of the divine but the self-humiliation of God so that forgetful, disobedient, and selectively-hearing people might be given surprising, unexpected, and undeserved victory. If nothing in your life is going the way you expect, trust that God will soon surprise you. 

See for Yourself

May the Holy Spirit open your eyes to see the God who sets traps for his enemies. And may you see Jesus as the one who surprises us with love, care, and victory over the grave."
spokengospel_2 Kings 3_video,2 Kings 3,God Traps an Evil King,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.youtube.com/watch?v=bs_zFUMELik,https://www.spokengospel.com/devotionals/2-kings-3#read,"In 2 Kings 3, we see that God upsets our expectations, traps evil, and surprises those loyal to him.",video,1 & 2 Kings Bible Study,
spokengospel_1 Kings 12-14_text,1 Kings 12-14,An Upside-Down Exodus,https://cdn.prod.website-files.com/63ec12d1cd984b7ed1155746/6402933e4b57269e986b4bf4_book-hero-ph.webp,https://www.spokengospel.com/devotionals/1-kings-12-14#read,,"In 1 Kings 12-14, we see that Jesus undoes Israel's upside-down Exodus and saves his people once and for all.",Website,1 & 2 Kings Bible Study,"What’s Happening?

Israel’s monarchy will not bring God’s Kingdom. Solomon, Israel’s most powerful king, is dead. Now, God’s people are left in the middle of an inverted Exodus story where Israel is now Egypt.

At Solomon’s death, his son inherits the kingdom. But a rival leader named Jeroboam returns from Egypt to save God’s people (1 Kings 12:1-2). Many in Israel were enslaved under Solomon’s rule and now look to Jeroboam for relief (1 Kings 12:3-4). Like Pharaoh, Solomon’s son responds to this threat by increasing the slaves’ workload (1 Kings 12:14, Exodus 5:9). Like Moses, Jeroboam leads ten of Israel’s tribes out of slavery and into the wilderness north of Jerusalem (1 Kings 12:19). But as soon as they’re free, Jeroboam builds new golden calves and tells Israel, “Here are your gods, Israel, who brought you up out of Egypt” (1 Kings 12:28). Israel’s history has repeated itself except Israel is the oppressor, and the man from Egypt is the liberator.

Regardless, a prophet confronts Jeroboam and prophesies that a new king, Josiah, will end his idolatrous cult (1 Kings 13:2). As signs to prove his message is from God, God withers Jeroboam’s hand, and his false altar splits in two (1 Kings 13:4-5). But Jeroboam is stubborn and hard-hearted. He rebuilds the golden calves and paves the way for his dynasty’s destruction (1 Kings 14:10).

Then, in an inversion of the Passover, Jeroboam's son is sick and he sends his wife to a prophet for healing (1 Kings 14:1). But while she is still in the prophet’s doorway, he prophesies the deaths of both the boy and Jeroboam (1 Kings 14:9,12). Like the firstborn sons of Egypt, as soon as she steps on her own doorstep her son dies (Exodus 12:23; 1 Kings 14:17). 

Meanwhile Solomon’s son, in the other half of the divided kingdom, sets up his own idols and is plundered by the Egyptians (1 Kings 14:23, 25). It’s the exact reverse of Israel’s plunder of Egypt’s wealth in the days after the Passover (Exodus 12:36). And both sides in Israel’s civil war learn the same thing: idolatry leads to slavery, loss, and death.

Where is the Gospel?

Solomon’s son and Jeroboam prove that a crown is not enough to lead Israel out of their idolatrous preferences. Like their ancestors, Israel just wants to do what’s right in their own eyes (1 Kings 14:8). And for Israel, the consequence of doing evil in God’s eyes is going back to slavery (1 Kings 14:16). Ironically, Jeroboam was the master of Israel’s slaves under Solomon. Israel trusts a slaver to liberate them and ends up enslaved to new masters and new idols, and death.

Idols and images always lead to slavery. Both golden calves and images of an ideal and fulfilled life promise liberation, but turn out to be slavers. We sacrifice our relationships, our hopes, and our morality to what looks right in our own eyes but find ourselves just as trapped as before. We’re still stuck in our own inverted Exodus enslaved by what we thought was right (John 8:34). 

We don’t need an idol, we need God to liberate us. And God has shown himself, not as an image carved from wood or molded from gold, but born in the flesh. Jesus is the exact image of God and the living imprint of his nature (Hebrews 1:3). Israel hoped Josiah would liberate them. But Jesus is not only Josiah’s son but God’s--and those whom Jesus sets free are free forever (John 8:36). 

Instead of making your own sacrifices to false gods, hopes, and idols, trust that Jesus is both your God and your sacrifice. He died as a Passover lamb to invert the story of your idolatry and death. By his blood on the doors of your heart, he liberates you from slavery to sin. And by his resurrection, Jesus inverts the grave and plunders death of its power (1 Corinthians 15:55). Jesus is the only image worth bowing to. Trust him alone, and he will set you free.

See For Yourself

May the Holy Spirit open your eyes to see the God who brings down wicked kings. And may you see Jesus as the true King of Israel who leads all people who call to him out of slavery."
